Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
1163268,"Chinaman's Chance (Arthur Case Wu, #1)",Ross Thomas,"Thomas, Ross",William Heffernan,0312334141,9780312334147,3,4.19,Minotaur Books,Paperback,320,2005,1978,,2/7/22,read-travel,read-travel (#5),read,,,,1,0
456267,"Tamerlane: Sword of Islam, Conqueror of the World",Justin Marozzi,"Marozzi, Justin",,0306815435,9780306815430,1,3.89,Da Capo Press,Paperback,496,2007,2004,,15/7/22,read-history,read-history (#29),read,,,,1,0
9827912,Incognito: The Secret Lives of the Brain,David Eagleman,"Eagleman, David",,0307377334,9780307377333,0,4.08,Pantheon,Hardcover,290,2011,2011,,14/7/22,to-read,to-read (#18),to-read,,,,0,0
30962055,Irresistible: The Rise of Addictive Technology and the Business of Keeping Us Hooked,Adam Alter,"Alter, Adam",,1594206643,9781594206641,0,3.87,Penguin Press,Hardcover,368,2017,2017,,14/7/22,to-read,to-read (#17),to-read,,,,0,0
22085568,The Culture Map: Breaking Through the Invisible Boundaries of Global Business,Erin Meyer,"Meyer, Erin",,,,0,4.33,PublicAffairs,Kindle Edition,290,2014,2014,,14/7/22,to-read,to-read (#16),to-read,,,,0,0
1014792,The State of Africa: A History of Fifty Years of Independence,Martin Meredith,"Meredith, Martin",,0743232224,9780743232227,3,4.18,Free Press,Paperback,752,2007,2005,12/7/22,30/6/22,read-history,read-history (#27),read,,,,1,0
16158498,Give and Take: A Revolutionary Approach to Success,Adam M. Grant,"Grant, Adam M.",,0670026557,9780670026555,0,4.07,Viking,Hardcover,320,2013,2013,,11/7/22,to-read,to-read (#15),to-read,,,,0,0
106835,The Intelligent Investor,Benjamin Graham,"Graham, Benjamin","Jason Zweig, Warren Buffett",0060555661,9780060555665,4,4.25,Harper Business,Paperback,623,2006,1949,,2/7/22,read-business,read-business (#14),read,,,,1,0
403743,"Out on the Rim (Arthur Case Wu, #2)",Ross Thomas,"Thomas, Ross",Donald E. Westlake,0312290594,9780312290597,4,4.13,Minotaur Books,Paperback,336,2003,1987,27/6/22,31/5/22,read-travel,read-travel (#4),read,,,,1,0
17316,"Oath of Gold (The Deed of Paksenarrion, #3)",Elizabeth Moon,"Moon, Elizabeth",,0671697986,9780671697983,2,4.27,Baen,Paperback,501,1989,1989,,31/3/22,read-fantasy-fiction,read-fantasy-fiction (#66),read,,,,1,0
